operation,screens,http_routes,cli_paths,mcp_names
account_add,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/accounts""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/account_add""}]","[""account add""]","[""books_company_account_add""]"
account_configure,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/account_configure""}]","[""account configure""]","[""books_db_account_configure""]"
account_create,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/account_create""}]","[""account create""]","[""books_db_account_create""]"
account_defaults_get,05 Account detail,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/defaults""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/account_defaults_get""}]",[],"[""books_company_account_defaults_get""]"
account_defaults_set,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/defaults""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/account_defaults_set""}]",[],"[""books_company_account_defaults_set""]"
account_identity_add,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/account_identity_add""}]","[""account identity add""]","[""books_db_account_identity_add""]"
account_identity_list,05 Account detail,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/account_identity_list""}]","[""account identity list""]","[""books_db_account_identity_list""]"
account_list,04 Accounts,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/accounts""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/account_list""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/account_list""}]","[""account list"", ""accounts""]","[""books_company_account_list"", ""books_db_account_list""]"
artifact_begin,22 Evidence file transfer,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/artifact_begin""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/artifact_begin""}]",[],"[""books_db_artifact_begin"", ""books_company_artifact_begin""]"
artifact_discard,22 Evidence file transfer,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/artifact_discard""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/artifact_discard""}]",[],"[""books_company_artifact_discard"", ""books_db_artifact_discard""]"
artifact_finish,22 Evidence file transfer,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/artifact_finish""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/artifact_finish""}]",[],"[""books_db_artifact_finish"", ""books_company_artifact_finish""]"
artifact_read,22 Evidence file transfer,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/artifact_read""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/artifact_read""}]",[],"[""books_db_artifact_read"", ""books_company_artifact_read""]"
artifact_write,22 Evidence file transfer,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/artifact_write""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/artifact_write""}]",[],"[""books_db_artifact_write"", ""books_company_artifact_write""]"
audit_list,33 Audit and integrity,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/audit_list""}]","[""audit list""]","[""books_db_audit_list""]"
audit_verify,33 Audit and integrity,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/audit_verify""}]","[""audit verify""]","[""books_db_audit_verify""]"
bank_import_apply,19 Review and apply an import,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/import-plans/{plan}/apply""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_apply""}]","[""bank-import apply""]","[""books_company_bank_import_apply""]"
bank_import_formats,16 Import files,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_formats""}]","[""bank-import formats""]","[""books_company_bank_import_formats""]"
bank_import_matches,18 Resolve source identity matches,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/imports/{job}/matches""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_matches""}]","[""bank-import matches""]","[""books_company_bank_import_matches""]"
bank_import_plan,19 Review and apply an import,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/import-plans/{plan}""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_plan""}]","[""bank-import plan""]","[""books_company_bank_import_plan""]"
bank_import_preview,19 Review and apply an import,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/imports/{job}/previews""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_preview""}]","[""bank-import preview""]","[""books_company_bank_import_preview""]"
bank_import_process,16 Import files,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_process""}]","[""bank-import process""]","[""books_company_bank_import_process""]"
bank_import_show,16 Import files; 17 Map imported accounts,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/imports/{job}""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_show""}]","[""bank-import show""]","[""books_company_bank_import_show""]"
bank_import_upload,16 Import files,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/imports""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/bank_import_upload""}]","[""bank-import upload""]","[""books_company_bank_import_upload""]"
book_list,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/book_list""}]","[""book list""]","[""books_db_book_list""]"
capabilities,34 Connection and preferences,"[{""method"": ""GET"", ""path"": ""/v1/capabilities""}]",[],"[""books_capabilities""]"
close_apply,30 Periods and optional period close,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/close/apply""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/close_apply""}]","[""close apply""]","[""books_company_close_apply""]"
close_plan,30 Periods and optional period close,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/close/plan""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/close_plan""}]","[""close plan""]","[""books_company_close_plan""]"
company_add,03 Choose or create an entity,"[{""method"": ""POST"", ""path"": ""/v1/admin/registry/operations/company_add""}]","[""company add"", ""init""]","[""books_registry_company_add""]"
company_default,03 Choose or create an entity,"[{""method"": ""POST"", ""path"": ""/v1/admin/registry/operations/company_default""}]","[""company default""]","[""books_registry_company_default""]"
company_list,03 Choose or create an entity,"[{""method"": ""GET"", ""path"": ""/v1/companies""}, {""method"": ""POST"", ""path"": ""/v1/admin/registry/operations/company_list""}]","[""companies"", ""company list""]","[""books_registry_company_list""]"
config_get,34 Connection and preferences,"[{""method"": ""POST"", ""path"": ""/v1/admin/registry/operations/config_get""}]","[""config get""]","[""books_registry_config_get""]"
config_path,34 Connection and preferences,"[{""method"": ""POST"", ""path"": ""/v1/admin/registry/operations/config_path""}]","[""config path""]","[""books_registry_config_path""]"
config_set,34 Connection and preferences,"[{""method"": ""POST"", ""path"": ""/v1/admin/registry/operations/config_set""}]","[""config set""]","[""books_registry_config_set""]"
correct,15 Correct or reverse an entry,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/{number}/correct""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/correct""}]","[""correct""]","[""books_company_correct""]"
